ID,Rol,Flujo,Resultado esperado,Estado
PIL-001,Admin,Iniciar sesión,Accede al dashboard admin,
PIL-002,Admin,Abrir Accesos,Puede crear/editar usuarios,
PIL-003,Admin,Abrir Finanzas,Puede ver módulo financiero,
PIL-004,Admin,Abrir Auditoría,Puede ver eventos SyncHub,
PIL-005,Entrenador,Iniciar sesión,Accede solo a módulos operativos,
PIL-006,Entrenador,Ver clientes,Solo ve clientes asignados,
PIL-007,Entrenador,Crear alimento,Alimento queda disponible en base profesional,
PIL-008,Entrenador,Crear dieta automática,Cliente recibe dieta activa,
PIL-009,Entrenador,Crear dieta manual,Cliente recibe dieta con alimentos manuales,
PIL-010,Entrenador,Editar dieta,Cliente ve actualización,
PIL-011,Entrenador,Retirar dieta,Cliente deja de ver dieta activa,
PIL-012,Entrenador,Crear plantilla rutina,Plantilla queda disponible para asignar,
PIL-013,Entrenador,Asignar rutina,Cliente ve rutina activa,
PIL-014,Entrenador,Editar rutina,Cliente ve actualización,
PIL-015,Entrenador,Retirar rutina,Cliente deja de ver rutina activa,
PIL-016,Cliente,Iniciar sesión,Accede solo a módulos de cliente,
PIL-017,Cliente,Forzar URL tab=finance,Se redirige a dashboard o no muestra módulo,
PIL-018,Cliente,Ver Mi plan,Solo ve su dieta/rutina,
PIL-019,Cliente,Actualizar avatar,Foto se actualiza,
PIL-020,Cliente,Enviar solicitud social,Solicitud queda pendiente,
PIL-021,Cliente,Aceptar solicitud,Amistad queda activa,
PIL-022,Cliente,Enviar chat a amigo,Mensaje se envía,
PIL-023,Cliente,Enviar chat sin vínculo,Backend rechaza,
PIL-024,Todos,Recuperar contraseña,Correo/token funcionan,
PIL-025,Todos,Cambiar contraseña,Login nuevo funciona,
